,FP,SALARY,VALUE,MIN,PTS,REB,AST,STL,BLK,TO,PLAYER_NAME
1,60.4,"$10,100",5.98,34.33,28.4,8.7,10.3,1.4,0.9,4.7,LeBron James PG/SF
3,54.7,"$10,000",5.47,34.63,27.0,9.6,9.4,1.1,0.4,3.8,Luka Doncic PG
5,51.8,"$10,600",4.88,35.32,21.6,11.7,7.5,1.3,0.8,3.6,Nikola Jokic C
7,50.6,"$10,200",4.96,32.67,21.8,9.4,9.8,1.6,0.4,3.3,Russell Westbrook PG
9,50.5,"$9,600",5.26,35.19,26.8,8.5,5.5,2.1,0.6,3.0,Kawhi Leonard SF
11,48.3,"$9,400",5.14,35.39,28.8,3.9,7.7,1.4,0.3,3.0,Stephen Curry PG
13,47.9,"$9,700",4.94,34.08,25.3,9.6,3.2,1.2,1.9,2.5,Anthony Davis PF/C
15,46.1,"$9,300",4.95,34.17,25.7,7,5.2,1.1,0.4,2.2,Kevin Durant PF
17,45.1,"$8,700",5.18,34.02,23.7,6.5,5.3,1.9,0.4,3.4,Paul George SG
19,45.0,"$9,000",5,33.97,26.7,4.7,5.6,1.3,0.2,2.4,Kyrie Irving PG
21,44.5,"$9,800",4.54,35.71,27.0,4.6,6.8,0.8,0.3,2.4,Damian Lillard PG
23,43.5,"$7,100",6.12,34.82,27.9,4.5,4.4,1.1,0.2,3.0,Donovan Mitchell PG/SG
25,43.3,"$9,100",4.76,35.93,28.1,3.7,5.1,1.3,0.3,2.8,Bradley Beal SG
27,39.8,"$7,700",5.16,34.29,21.2,4.4,7.9,0.7,0.3,3.8,Devin Booker SG
29,39.5,"$7,300",5.41,34.80,24.4,4.1,4.6,1.4,0.4,3.7,Zach LaVine SG
33,37.8,"$8,400",4.5,35.67,22.8,3.9,4.0,1.0,0.7,1.6,Jamal Murray PG
35,37.4,"$7,400",5.05,32.07,20.1,3.7,6.3,1.2,0.3,3.5,D'Angelo Russell PG/SG
37,37.3,"$7,000",5.33,32.59,16.2,4.6,8.6,1.7,0.1,2.3,Chris Paul PG
39,36.5,"$7,500",4.87,34.02,19.5,4.9,6.4,1.0,0.3,2.6,DeMar DeRozan SF/PF
41,36.1,"$7,200",5.02,30.71,14.0,12.3,1.1,0.6,1.6,1.6,Rudy Gobert C
43,35.7,"$7,100",5.03,30.27,16.4,10.4,1.5,0.6,1.2,2.1,Deandre Ayton C
45,35.5,"$6,700",5.29,31.06,14.8,6.8,5.5,2.1,0.2,2.3,Dejounte Murray PG
47,34.7,"$5,400",6.43,33.34,14.7,7.6,4.6,1.3,0.7,2.1,Will Barton SG/SF
49,34.6,"$6,600",5.24,32.25,15.5,8.8,1.8,0.7,2.0,1.8,Thomas Bryant C
51,33.4,"$8,000",4.18,29.07,13.6,10,2.0,0.6,1.0,1.6,Jonas Valanciunas C
53,33.3,"$6,900",4.82,33.59,17.8,3,5.6,0.9,0.1,1.9,Mike Conley PG
55,32.7,"$6,800",4.81,33.39,18.7,2.9,5.6,0.9,0.2,2.4,Dennis Schroder PG/SG
57,31.9,"$6,200",5.15,30.17,15.2,8.5,1.9,0.4,1.2,1.0,LaMarcus Aldridge C
59,31.9,"$6,400",4.98,26.34,13.6,9.2,1.9,0.7,1.4,1.9,Jusuf Nurkic C
61,31.6,"$6,900",4.58,33.52,17.8,5.9,2.6,0.9,0.6,2.1,Andrew Wiggins SG/SF
63,31.4,"$5,900",5.32,32.49,21.1,4,2.2,0.5,0.1,2.3,Bojan Bogdanovic SF/PF
65,30.8,"$3,900",7.9,19.78,13.3,8.2,1.5,1.1,1.1,1.7,Gorgui Dieng C
67,30.2,"$5,700",5.29,26.48,14.5,7.8,1.5,0.4,1.2,1.7,Serge Ibaka C
69,29.7,"$6,200",4.78,34.85,17.2,4.2,3.4,0.8,0.0,2.2,Coby White PG/SG
71,29.3,"$6,300",4.64,31.51,20.3,3.2,1.8,0.8,0.3,1.7,Dillon Brooks SG/SF
73,28.8,"$6,500",4.43,26.15,15.3,3.3,4.4,1.3,0.3,2.5,Caris LeVert PG/SG
75,28.5,"$6,100",4.67,31.77,16.2,4.9,1.9,1.4,0.3,1.3,Keldon Johnson SG/SF
77,28.4,"$5,000",5.68,34.65,15.6,3.5,3.4,1.3,0.4,2.3,Josh Richardson SG/SF
79,28.0,"$6,000",4.66,30.27,13.0,8.3,1.5,0.7,0.9,1.7,Wendell Carter Jr. C
81,27.6,"$5,000",5.53,33.36,9.4,7.5,2.0,1.9,1.4,1.5,Robert Covington PF
83,27.5,"$6,300",4.36,25.12,14.6,6.9,1.4,0.5,1.0,1.7,Montrezl Harrell C
85,27.4,"$5,600",4.89,24.12,10.7,9.1,1.3,0.5,1.5,1.3,Jarrett Allen C
87,27.4,"$6,400",4.28,33.01,11.1,7.7,2.3,0.9,0.7,1.5,Kyle Anderson SF/PF
89,27.1,"$4,200",6.44,31.63,15.3,4.6,2.1,0.9,0.2,1.3,Lonnie Walker SG
91,27.1,"$5,800",4.66,35.26,11.6,5.2,2.0,1.4,0.9,1.2,Mikal Bridges SF
93,26.9,"$5,000",5.39,28.64,9.0,4.1,7.5,1.4,0.1,2.9,Ricky Rubio PG
95,26.5,"$5,100",5.2,25.52,12.9,6.2,2.0,0.7,0.8,1.5,Rudy Gay SF/PF
97,26.5,"$4,300",6.16,24.05,14.3,5.9,1.8,0.9,0.6,1.8,Carmelo Anthony PF
99,26.0,"$4,800",5.41,23.88,16.7,2.6,2.2,0.8,0.1,1.4,Jordan Clarkson PG/SG
101,25.6,"$5,800",4.41,31.19,16.2,3.3,2.0,0.7,0.1,1.0,Tim Hardaway Jr. SG
103,25.6,"$4,700",5.44,28.90,10.9,3.4,5.4,0.7,0.1,1.8,Joe Ingles SG/SF
105,25.4,"$5,500",4.61,27.45,12.1,5.9,1.5,0.9,1.2,1.1,Naz Reid C
107,25.3,"$6,000",4.22,30.65,13.8,5.4,1.3,1.0,0.7,1.2,Kelly Oubre SF/PF
109,25.2,"$3,300",7.62,24.49,14.3,4.2,1.1,0.8,0.2,0.8,Timothe Luwawu-Cabarrot SF
111,24.9,"$5,900",4.22,32.84,14.8,3.9,1.7,0.7,0.2,1.5,Malik Beasley SG
113,24.6,"$6,200",3.97,28.94,13.0,4.5,2.0,1.2,0.4,1.1,Otto Porter SF/PF
115,24.5,"$4,500",5.45,28.95,10.5,5.7,2.0,1.0,0.9,1.1,Paul Millsap PF/C
117,24.4,"$5,200",4.7,24.37,12.7,4.5,1.5,1.4,0.5,1.4,Anthony Edwards SG/SF
119,24.2,"$3,900",6.21,26.44,11.2,4.9,2.1,1.5,0.4,1.4,Thaddeus Young PF
121,23.5,"$4,900",4.8,29.56,10.6,5.4,2.0,1.0,0.6,1.2,Jae Crowder SF/PF
123,23.4,"$4,600",5.09,30.66,9.7,5.2,1.2,1.2,0.8,0.8,Derrick Jones Jr. SF/PF
125,23.0,"$5,700",4.04,30.05,12.3,4.2,1.9,0.7,0.3,1.4,Joe Harris SG/SF
127,22.9,"$4,900",4.66,20.37,9.4,7.2,0.9,0.5,1.2,0.6,Enes Kanter C
129,22.5,"$4,200",5.36,30.29,10.0,6,1.6,0.6,0.6,1.0,Dorian Finney-Smith SF/PF
131,22.2,"$5,200",4.26,22.11,12.2,3.6,1.5,0.8,0.4,1.2,James Wiseman C
133,22.0,"$4,700",4.69,23.36,12.5,3.5,1.3,0.7,0.3,1.1,Davis Bertans PF
135,21.9,"$5,400",4.05,25.99,9.2,7,1.1,0.5,0.9,1.1,Brandon Clarke PF/C
137,21.7,"$5,600",3.88,22.51,12.4,4.1,1.4,0.6,0.3,1.3,Kyle Kuzma SF/PF
139,21.7,"$5,800",3.74,21.58,7.7,3.9,4.5,1.1,0.4,1.9,Draymond Green PF/C
141,21.5,"$4,600",4.68,26.27,10.1,2.5,4.4,0.9,0.1,1.2,Monte Morris PG
143,21.5,"$5,400",3.98,30.65,8.4,2,5.8,1.2,0.1,1.4,Tyus Jones PG
145,21.3,"$3,400",6.27,21.85,11.2,1.7,3.6,0.9,0.1,1.0,Trey Burke PG/SG
147,21.2,"$4,800",4.42,33.88,7.0,4,4.4,0.9,0.4,1.4,Nicolas Batum SF/PF
149,20.8,"$4,600",4.53,24.19,10.9,2.1,4.0,0.5,0.2,1.8,Lou Williams PG/SG
151,20.8,"$5,200",4,25.51,11.0,4.9,1.5,0.7,0.2,1.1,Rui Hachimura PF
153,20.8,"$3,900",5.33,27.46,7.0,3.6,3.5,1.2,0.6,1.5,Patrick Beverley PG
155,20.6,"$3,800",5.41,33.37,9.4,3.7,2.2,1.6,0.3,1.1,Gary Harris SG/SF
